scenario_id,n,r1_PC_mean,r1_MR_mean,r1_SS_mean,r1_CA_mean,r1_overall_mean,r1_CF_rate,r1_error_rate,r2_PC_mean,r2_MR_mean,r2_SS_mean,r2_CA_mean,r2_overall_mean,r2_CF_rate,r2_error_rate,human_overall_mean,human_overall_sd,judge_overall_mean,judge_CF_rate
S1,98,4.37,4.98,4.31,4.23,4.47,0.031,0.214,4.59,3.98,4.84,4.11,4.38,0.296,0.459,4.43,0.43,3.84,0.49
S2,93,4.03,4.87,4.39,4.33,4.41,0.237,0.301,4.51,5.0,4.57,4.71,4.7,0.108,0.129,4.55,0.63,3.6,0.538
S3,105,3.57,5.0,2.93,3.69,3.8,0.19,0.638,3.63,5.0,2.64,3.82,3.77,0.6,0.6,3.78,0.91,3.03,0.829
S4,90,3.89,5.0,4.17,4.31,4.34,0.178,0.189,4.36,5.0,4.43,4.77,4.64,0.078,0.078,4.49,0.65,4.39,0.233
S5,127,4.63,4.99,4.61,4.58,4.7,0.008,0.165,4.7,5.0,4.94,4.41,4.76,0.0,0.315,4.73,0.33,3.43,0.709
