condition,n,r1_PC_mean,r1_MR_mean,r1_SS_mean,r1_CA_mean,r1_overall_mean,r1_CF_rate,r1_error_rate,r2_PC_mean,r2_MR_mean,r2_SS_mean,r2_CA_mean,r2_overall_mean,r2_CF_rate,r2_error_rate,human_overall_mean,human_overall_sd,judge_overall_mean,judge_CF_rate
B0,90,2.87,4.89,3.04,3.47,3.57,0.467,0.633,3.68,4.82,3.62,4.0,4.03,0.411,0.5,3.8,0.8,2.61,0.844
C1,126,4.1,4.98,3.9,4.1,4.27,0.071,0.397,4.24,4.81,4.08,4.13,4.31,0.262,0.444,4.29,0.68,3.33,0.778
C2,116,4.2,5.0,4.08,4.24,4.38,0.06,0.336,4.31,4.81,4.15,4.14,4.35,0.233,0.422,4.37,0.66,3.55,0.655
C3,90,4.73,5.0,4.77,4.74,4.81,0.022,0.044,4.83,4.76,4.87,4.83,4.82,0.078,0.089,4.82,0.33,4.43,0.233
C4,91,4.7,4.98,4.75,4.69,4.78,0.022,0.044,4.82,4.82,4.88,4.79,4.83,0.055,0.099,4.8,0.32,4.34,0.275
